Account:;Paloma Marsh;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
From:;03.01.2023;;To: ;02.06.2023;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Daily average, h:;2.93;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Tag;Time, h;Time billable, h;;;;;;;;;;;;;;;;;;
-;345.0;;;;;;;;;;;;;;;;;;;
1120;53.06;;;;;;;;;;;;;;;;;;;
1320;43.65;;;;;;;;;;;;;;;;;;;
Total:;441.71;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #1;;;;01.01.2023;02.01.2023;03.01.2023;04.01.2023;05.01.2023;06.01.2023;07.01.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
-;Intensive work;14.13;;;;2.28;3.81;4.47;2.48;1.09;;;;;;;;;;
;Off;13.41;;;;;6.29;7.09;0.01;0.02;;;;;;;;;;
;Break;3.62;;;;;0.68;0.91;1.0;1.03;;;;;;;;;;
;Research;2.9;;;;0.03;0.87;0.73;0.42;0.85;;;;;;;;;;
;Class;1.12;;;;0.73;0.32;0.07;;;;;;;;;;;;
;email/admin;0.34;;;;0.34;;;;;;;;;;;;;;
Subtotal, h;;35.52;;;;3.38;11.97;13.27;3.91;2.99;;;;;;;;;;
Day total, h;;;;;;3.38;11.97;13.27;3.91;2.99;;;;;;;;;;
Hours total;;;;;;;;;;35.52;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #2;;;;08.01.2023;09.01.2023;10.01.2023;11.01.2023;12.01.2023;13.01.2023;14.01.2023;;;;;;;;;;
Tag;Task;Time;Hour Rate;Sun;Mon;Tue;Wed;Thu;Fri;Sat;;;;;;;;;;
1120;Data Structures;1.36;;;;;1.35;0.01;;;;;;;;;;;;
Subtotal, h;;1.36;;;;;1.35;0.01;;;;;;;;;;;;
1320;JavaScript;0.19;;;;;;0.19;;;;;;;;;;;;
Subtotal, h;;0.19;;;;;;0.19;;;;;;;;;;;;
-;Class;8.17;;;;;5.48;2.69;;;;;;;;;;;;
;Intensive work;7.24;;4.05;3.18;;0.01;;;;;;;;;;;;;
;SPD 1.3 Group;5.95;;;;;0.28;1.01;4.66;;;;;;;;;;;
;Research;5.81;;3.19;1.28;;;;1.34;;;;;;;;;;;
;Off;3.93;;3.64;0.29;;;;;;;;;;;;;;;
;Break;3.2;;1.43;0.2;;;0.29;1.28;;;;;;;;;;;
;email/admin;1.83;;;;;1.0;0.83;;;;;;;;;;;;
;Class;0.02;;;;;;0.02;;;;;;;;;;;;
Subtotal, h;;36.15;;12.31;4.95;;6.77;4.84;7.28;;;;;;;;;;;
Day total, h;;;;12.31;4.95;;8.12;5.04;7.28;;;;;;;;;;;
Hours total;;;;;;;;;;37.7;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Week #3;;;;15.01.2023;16.01.2023;17.01.2023;18.01.2023;19.01.2023;20.01.2023;21.01.2023;;;;;;;;;;
