Date,Day,Data Structures,Javascript,Class,SPD 1.3,Break,Auth,Research,Email/admin
08.01.2023,Sun,,,,,1.43,,3.19,
09.01.2023,Mon,,,,,0.2,,1.28,
10.01.2023,Tue,,,,,,,,
11.01.2023,Wed,1.35,,5.48,0.28,,,,1
12.01.2023,Thu,0.01,0.19,2.69,1.01,0.29,,,0.83
13.01.2023,Fri,,,,4.66,1.28,,1.34,
14.01.2023,Sat,,,,,,,,
15.01.2023,Sun,,,,0.56,0.59,,1.77,
16.01.2023,Mon,2.08,,,,,,0.26,
17.01.2023,Tue,2.65,1.66,1.54,0.77,0.3,,,
18.01.2023,Wed,5.7,,4.52,1.01,2.4,0.62,0.01,
19.01.2023,Thu,,3.37,1.38,4.71,0.73,,,0.51
20.01.2023,Fri,1.94,2.85,,,1.54,,,1.14
21.01.2023,Sat,1.4,,,,,1.47,,
22.01.2023,Sun,,,,,,0.92,,
23.01.2023,Mon,,,2.12,,,2.75,,
24.01.2023,Tue,1.53,1.42,,0.33,0.55,,0.46,
25.01.2023,Wed,3.45,0.04,4,,1.16,,,
26.01.2023,Thu,,4.96,,2,0.24,,,0.13
27.01.2023,Fri,2.38,,,2.28,,,0.26,
28.01.2023,Sat,1.19,,,,,,,
29.01.2023,Sun,0.27,,,2.67,0.44,6.43,,
30.01.2023,Mon,2,,2.41,3.48,0.64,,,
31.01.2023,Tue,2,3,,1,,,,
01.02.2023,Wed,1.21,,4.36,2.5,0.96,0.51,,
02.02.2023,Thu,,5.39,1.05,,0.17,,,
03.02.2023,Fri,5.47,,,1.81,3.88,,,0.05
04.02.2023,Sat,1.67,,,,0.13,,,
05.02.2023,Sun,,,,,0.45,2.75,,
06.02.2023,Mon,1.69,,2.26,,0.19,0.67,,
07.02.2023,Tue,,1.33,,,0.83,1.13,,
08.02.2023,Wed,0.3,,7.77,,0.54,1.21,,
09.02.2023,Thu,,2.72,0.53,,0.01,,,
10.02.2023,Fri,,,,,,,,
11.02.2023,Sat,0.02,,,,0.17,4.95,6.58,
12.02.2023,Sun,,,,,,3.46,,
13.02.2023,Mon,0.87,,7.27,,0.46,0.54,,
14.02.2023,Tue,1.49,3.06,,,,,,
15.02.2023,Wed,2.19,,3.99,,,,,
16.02.2023,Thu,1.5,3.28,,1.01,,1.25,,0.76
17.02.2023,Fri,,1.74,,,,3.06,,2.04
18.02.2023,Sat,,2.24,,,,2,,
19.02.2023,Sun,,1.16,,,,,,
20.02.2023,Mon,1.55,1.94,,1.09,,,,
21.02.2023,Tue,,3.3,1.61,0.27,,,,0.26
22.02.2023,Wed,,,8.83,,,,,
23.02.2023,Thu,,,,0.82,,,,
24.02.2023,Fri,,,,2.28,,,,
25.02.2023,Sat,,,,,,,,
26.02.2023,Sun,,,,4.14,,2.22,,
27.02.2023,Mon,,,1.03,,,2.28,,
28.02.2023,Tue,1.65,,1.02,,,,,
01.03.2023,Wed,2,,,,,,,
02.03.2023,Thu,,,,,,,,
03.03.2023,Fri,,,,,,,,
04.03.2023,Sat,1,,,,,,,
